nome,url,imagem,formato,categoria,acabamento,relevo,classe_ad,variacao_tonalidade,n_faces,espessura,junta,m2_caixa,pecas_caixa
Basaltina Beige,https://www.biancogres.com.br/produto/basaltina-beige/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_BasaltinaBeige60x60_RGB_1024x1204px_LOW.jpg,60x60,Porcelanato Esmaltado,Sim,Rústico,Sim,LD,4,V3,10,8.8,"1,5"
Abruzzo,https://www.biancogres.com.br/produto/abruzzo/,https://www.biancogres.com.br/wp-content/uploads/2019/10/02-Vita-Abruzzo-final-1024x380.jpg,"18,7x122,7",Vinílico,Sim,Acetinado,Não,LC,-,V2,-,2,JUNTA SECA
Bosco Caramello,https://www.biancogres.com.br/produto/bosco-caramello/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BOSCO_CARAMELLO_SITE.jpg,26x106,Porcelanato Esmaltado,Sim,Rústico,Sim,LD,4,V3,10,7.44,"1,5"
Bardosh Grigio,https://www.biancogres.com.br/produto/bardosh-grigio/,https://www.biancogres.com.br/wp-content/uploads/2020/03/AMBIENTE_BIANCOGRES_BARDOSH_GRIGIO_32X60-1024x939.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,4,8,1
Calacata Altissimo Satin,https://www.biancogres.com.br/produto/calacata-altissimo/,https://www.biancogres.com.br/wp-content/uploads/2018/09/AMBIENTE_BIANCOGRES_CALACATA_ALTISSIMO_CONTINUO_120X120_-1024x1024.jpg,120x120,Porcelanato Esmaltado,Sim,Acetinado,Não,LD,1,V3,16,12,2
Bardosh Blu,https://www.biancogres.com.br/produto/bardosh-blu/,https://www.biancogres.com.br/wp-content/uploads/2020/03/AMBIENTE_BIANCOGRES_BARDOSH_BLU_32X60_ALTA.jpg,32x60,Monoporosa,Sim,Acetinado,Sim,LA,-,V2,4,8,1
Bergamo Satin,https://www.biancogres.com.br/produto/bergamo-satin/,https://www.biancogres.com.br/wp-content/uploads/2019/11/BIANCOGRES-SUPERGRES-BERGAMO-SATIN-60X60.jpg,60x60,Supergres,Não,Acetinado,Não,LD,1,V3,6,8.1,3
Arenzano,https://www.biancogres.com.br/produto/arenzano/,https://www.biancogres.com.br/wp-content/uploads/2019/10/ARENZANO-LINHA-NUOVA-SITE-1024x155.jpg,18x122,Vinílico,Sim,Acetinado,Não,LC,-,V2,-,5,JUNTA SECA
Angulus Urban,https://www.biancogres.com.br/produto/angulus-urban/,https://www.biancogres.com.br/wp-content/uploads/2019/05/ANGULUS-URBAN.jpg,30X30,Porcelanato Esmaltado,Não,Acetinado,Não,LD,-,V2,1,"7,8","2,2"
Arquitetura,https://www.biancogres.com.br/produto/arquitetura/,https://www.biancogres.com.br/wp-content/uploads/2018/09/mosaico_arquitetura_30x30-1.jpg,30X30,Porcelanato Esmaltado,Sim,Polido,Não,LD,-,V3,1,11,1.5
